file,column_index,column,unit,meaning,example_first_row
demo_0_obs.csv,56,fingertip_position_base[9],m,robot_1 fingertip link 1 x in base,0.4601188898086548
demo_0_obs.csv,57,fingertip_position_base[10],m,robot_1 fingertip link 1 y in base,-0.08751243352890015
demo_0_obs.csv,58,fingertip_position_base[11],m,robot_1 fingertip link 1 z in base,0.17822124063968658
demo_0_obs.csv,59,grasp_pose_base[0],m,robot_0 grasp_pose_base x; robot base,0.4662579894065857
demo_0_obs.csv,60,grasp_pose_base[1],m,robot_0 grasp_pose_base y; robot base,-0.08741927146911621
demo_0_obs.csv,61,grasp_pose_base[2],m,robot_0 grasp_pose_base z; robot base,0.17822052538394928
demo_0_obs.csv,62,grasp_pose_base[3],unit quaternion,robot_0 grasp_pose_base qw; robot base,1.0
demo_0_obs.csv,63,grasp_pose_base[4],unit quaternion,robot_0 grasp_pose_base qx; robot base,-1.495505941306874e-08
demo_0_obs.csv,64,grasp_pose_base[5],unit quaternion,robot_0 grasp_pose_base qy; robot base,1.0294523633547215e-07
demo_0_obs.csv,65,grasp_pose_base[6],unit quaternion,robot_0 grasp_pose_base qz; robot base,-1.2644055402688537e-07
demo_0_obs.csv,66,grasp_pose_base[7],m,robot_1 grasp_pose_base x; robot base,0.4662579894065857
demo_0_obs.csv,67,grasp_pose_base[8],m,robot_1 grasp_pose_base y; robot base,-0.08741927146911621
demo_0_obs.csv,68,grasp_pose_base[9],m,robot_1 grasp_pose_base z; robot base,0.17822052538394928
demo_0_obs.csv,69,grasp_pose_base[10],unit quaternion,robot_1 grasp_pose_base qw; robot base,1.0
demo_0_obs.csv,70,grasp_pose_base[11],unit quaternion,robot_1 grasp_pose_base qx; robot base,-1.495505941306874e-08
demo_0_obs.csv,71,grasp_pose_base[12],unit quaternion,robot_1 grasp_pose_base qy; robot base,1.0294523633547215e-07
demo_0_obs.csv,72,grasp_pose_base[13],unit quaternion,robot_1 grasp_pose_base qz; robot base,-1.2644055402688537e-07
demo_0_obs.csv,73,gripper_close_command[0],bool,robot_0 close intent; not ground-truth grasp success,0.0
demo_0_obs.csv,74,gripper_close_command[1],bool,robot_1 close intent; not ground-truth grasp success,0.0
demo_0_obs.csv,75,joint_position[0],rad,robot_0 wheel_0_joint measured position,3.799934325532384e-12
demo_0_obs.csv,76,joint_position[1],rad,robot_0 wheel_1_joint measured position,-6.231965464509326e-12
demo_0_obs.csv,77,joint_position[2],rad,robot_0 wheel_2_joint measured position,2.6987897593783172e-12
demo_0_obs.csv,78,joint_position[3],m,robot_0 lift_joint measured position,5.7497964722763584e-11
demo_0_obs.csv,79,joint_position[4],m,robot_0 arm_l1_joint measured position,-6.834139645254395e-14
demo_0_obs.csv,80,joint_position[5],m,robot_0 arm_l2_joint measured position,-8.764681553230166e-14
demo_0_obs.csv,81,joint_position[6],m,robot_0 arm_l3_joint measured position,-1.1549997611971785e-13
demo_0_obs.csv,82,joint_position[7],m,robot_0 arm_l4_joint measured position,-2.050139910809469e-14
demo_0_obs.csv,83,joint_position[8],rad,robot_0 wrist_yaw_joint measured position,-4.264325004221803e-10
demo_0_obs.csv,84,joint_position[9],rad,robot_0 wrist_pitch_joint measured position,1.0488466761771065e-09
demo_0_obs.csv,85,joint_position[10],rad,robot_0 wrist_roll_joint measured position,-3.4534464177227164e-10
demo_0_obs.csv,86,joint_position[11],rad,robot_0 gripper_finger_left_joint measured position,6.01926231080796e-10
demo_0_obs.csv,87,joint_position[12],rad,robot_0 gripper_finger_right_joint measured position,2.0659201346168166e-14
demo_0_obs.csv,88,joint_position[13],rad,robot_1 wheel_0_joint measured position,3.171515784369805e-12
demo_0_obs.csv,89,joint_position[14],rad,robot_1 wheel_1_joint measured position,-3.71142309593675e-12
demo_0_obs.csv,90,joint_position[15],rad,robot_1 wheel_2_joint measured position,9.335365596871426e-13
demo_0_obs.csv,91,joint_position[16],m,robot_1 lift_joint measured position,-3.063071671305373e-11
demo_0_obs.csv,92,joint_position[17],m,robot_1 arm_l1_joint measured position,1.7593848470123796e-12
demo_0_obs.csv,93,joint_position[18],m,robot_1 arm_l2_joint measured position,1.6588832087507943e-12
demo_0_obs.csv,94,joint_position[19],m,robot_1 arm_l3_joint measured position,1.459662902700276e-12
demo_0_obs.csv,95,joint_position[20],m,robot_1 arm_l4_joint measured position,-1.9967478242540046e-15
demo_0_obs.csv,96,joint_position[21],rad,robot_1 wrist_yaw_joint measured position,-1.0826533419772133e-10
demo_0_obs.csv,97,joint_position[22],rad,robot_1 wrist_pitch_joint measured position,3.117072155944811e-10
demo_0_obs.csv,98,joint_position[23],rad,robot_1 wrist_roll_joint measured position,-6.321320550339848e-11
demo_0_obs.csv,99,joint_position[24],rad,robot_1 gripper_finger_left_joint measured position,6.632851212717839e-11
demo_0_obs.csv,100,joint_position[25],rad,robot_1 gripper_finger_right_joint measured position,1.2574463692516247e-10
demo_0_obs.csv,101,joint_velocity[0],rad/s,robot_0 wheel_0_joint measured velocity,1.8773052556930736e-10
demo_0_obs.csv,102,joint_velocity[1],rad/s,robot_0 wheel_1_joint measured velocity,-9.7031072066045e-10
demo_0_obs.csv,103,joint_velocity[2],rad/s,robot_0 wheel_2_joint measured velocity,8.027210007810481e-10
demo_0_obs.csv,104,joint_velocity[3],m/s,robot_0 lift_joint measured velocity,2.245032248993084e-08
demo_0_obs.csv,105,joint_velocity[4],m/s,robot_0 arm_l1_joint measured velocity,-1.9994575439774565e-11
demo_0_obs.csv,106,joint_velocity[5],m/s,robot_0 arm_l2_joint measured velocity,-2.982953120622689e-11
demo_0_obs.csv,107,joint_velocity[6],m/s,robot_0 arm_l3_joint measured velocity,1.0837395425511431e-09
demo_0_obs.csv,108,joint_velocity[7],m/s,robot_0 arm_l4_joint measured velocity,3.976762252833055e-10
demo_0_obs.csv,109,joint_velocity[8],rad/s,robot_0 wrist_yaw_joint measured velocity,-1.129016737877464e-07
demo_0_obs.csv,110,joint_velocity[9],rad/s,robot_0 wrist_pitch_joint measured velocity,2.609770035633119e-07
demo_0_obs.csv,111,joint_velocity[10],rad/s,robot_0 wrist_roll_joint measured velocity,-9.109066922974307e-08
demo_0_obs.csv,112,joint_velocity[11],rad/s,robot_0 gripper_finger_left_joint measured velocity,1.404325189469091e-07
demo_0_obs.csv,113,joint_velocity[12],rad/s,robot_0 gripper_finger_right_joint measured velocity,7.583277755740525e-12
demo_0_obs.csv,114,joint_velocity[13],rad/s,robot_1 wheel_0_joint measured velocity,4.4193419757032615e-11
demo_0_obs.csv,115,joint_velocity[14],rad/s,robot_1 wheel_1_joint measured velocity,-3.1079977480530374e-10
demo_0_obs.csv,116,joint_velocity[15],rad/s,robot_1 wheel_2_joint measured velocity,3.133900083884811e-10
demo_0_obs.csv,117,joint_velocity[16],m/s,robot_1 lift_joint measured velocity,-9.650584331666323e-09
demo_0_obs.csv,118,joint_velocity[17],m/s,robot_1 arm_l1_joint measured velocity,1.2468988341840515e-10
demo_0_obs.csv,119,joint_velocity[18],m/s,robot_1 arm_l2_joint measured velocity,1.1489063866942928e-10
demo_0_obs.csv,120,joint_velocity[19],m/s,robot_1 arm_l3_joint measured velocity,1.0369074349148022e-10
demo_0_obs.csv,121,joint_velocity[20],m/s,robot_1 arm_l4_joint measured velocity,2.5177095651363057e-12
demo_0_obs.csv,122,joint_velocity[21],rad/s,robot_1 wrist_yaw_joint measured velocity,3.669635262326665e-08
demo_0_obs.csv,123,joint_velocity[22],rad/s,robot_1 wrist_pitch_joint measured velocity,-1.6831145366325018e-09
demo_0_obs.csv,124,joint_velocity[23],rad/s,robot_1 wrist_roll_joint measured velocity,4.754455318334294e-08
demo_0_obs.csv,125,joint_velocity[24],rad/s,robot_1 gripper_finger_left_joint measured velocity,-8.97162166779708e-08
demo_0_obs.csv,126,joint_velocity[25],rad/s,robot_1 gripper_finger_right_joint measured velocity,7.938930224327123e-08
demo_0_obs.csv,127,previous_action[0],"normalized [-1,1]",robot_0 previous base_forward_velocity,0.0
demo_0_obs.csv,128,previous_action[1],"normalized [-1,1]",robot_0 previous base_left_velocity,0.0
demo_0_obs.csv,129,previous_action[2],"normalized [-1,1]",robot_0 previous base_yaw_velocity,0.0
demo_0_obs.csv,130,previous_action[3],"normalized [-1,1]",robot_0 previous lift_velocity,0.0
demo_0_obs.csv,131,previous_action[4],"normalized [-1,1]",robot_0 previous arm_extension_velocity,0.0
demo_0_obs.csv,132,previous_action[5],"normalized [-1,1]",robot_0 previous wrist_yaw_velocity,0.0
demo_0_obs.csv,133,previous_action[6],"normalized [-1,1]",robot_0 previous wrist_pitch_velocity,0.0
demo_0_obs.csv,134,previous_action[7],"normalized [-1,1]",robot_0 previous wrist_roll_velocity,0.0
demo_0_obs.csv,135,previous_action[8],"normalized [-1,1]",robot_0 previous gripper_command,0.0
demo_0_obs.csv,136,previous_action[9],"normalized [-1,1]",robot_1 previous base_forward_velocity,0.0
demo_0_obs.csv,137,previous_action[10],"normalized [-1,1]",robot_1 previous base_left_velocity,0.0
demo_0_obs.csv,138,previous_action[11],"normalized [-1,1]",robot_1 previous base_yaw_velocity,0.0
demo_0_obs.csv,139,previous_action[12],"normalized [-1,1]",robot_1 previous lift_velocity,0.0
demo_0_obs.csv,140,previous_action[13],"normalized [-1,1]",robot_1 previous arm_extension_velocity,0.0
demo_0_obs.csv,141,previous_action[14],"normalized [-1,1]",robot_1 previous wrist_yaw_velocity,0.0
demo_0_obs.csv,142,previous_action[15],"normalized [-1,1]",robot_1 previous wrist_pitch_velocity,0.0
demo_0_obs.csv,143,previous_action[16],"normalized [-1,1]",robot_1 previous wrist_roll_velocity,0.0
demo_0_obs.csv,144,previous_action[17],"normalized [-1,1]",robot_1 previous gripper_command,0.0
demo_0_obs.csv,145,simulation_time_s[0],s,simulation_time_s original shape=scalar; indices=(),0.008333333767950535
video_frame_index.csv,0,video_frame,index,Preview MP4 frame number,0
video_frame_index.csv,1,video_time_s,s,Preview MP4 playback time; not the original observation time,0.0
video_frame_index.csv,2,episode,name,HDF5 episode this observation belongs to,demo_0
video_frame_index.csv,3,observation_frame,index,"Observation index in the original episode, including the last next_obs",0
video_frame_index.csv,4,simulation_time_s,s,Simulation time of the original observation,0.008333333767950535
video_frame_index.csv,5,physics_tick,tick,"Physics tick in the raw log, 240 Hz",0
